# EXCHANGE FLUXES IN REGULATED ecFBA MODEL
# FBA model ../../ModelFiles/ecFBA/Modified/reducedEcYeast_modified_withDamage.mat with objective minGlc
# Boolean model ../../ModelFiles/Boolean/Modified/rules.txt, ../../ModelFiles/Boolean/Modified/species.txt
# TF layer ../../ModelFiles/Boolean/Modified/TFtargets.txt
growth rate	O2 uptake	CO2 production	glucose uptake	ethanol production	acetate production	glycerol production	enzyme pool
0.0	0.3033517929733417	0.30332665341785064	0.05078436634661581	-0.0	2.8697430369539756e-10	0.0004598480293008256	0.022625967532300312
0.004	0.40240007980960035	0.4049510280860167	0.0931783308706731	-0.0	5.263516185405326e-10	0.000845718585626447	0.0229264975625698
0.008	0.503272834137245	0.5079425458014672	0.13580059449717147	-0.0	7.671805274389598e-10	0.0012324729967964558	0.023229949035653293
0.012	0.6038539860441863	0.6109980348049983	0.17843396193414923	-0.0	1.007822700294092e-9	0.0016201112663363612	0.023534054951111657
0.016	0.7050190328412512	0.7146369560338445	0.2211650100047155	-0.0	1.2490083758920356e-9	0.002008633394250108	0.023839728031121825
0.02	0.8067679745278337	0.8188593094873963	0.2639937387089613	-0.0	1.4913525553383877e-9	0.0023980393805246815	0.024146968275680816
0.024	0.9091008111050126	0.9236650951667278	0.3069201480467417	-0.0	1.733840272744036e-9	0.0027883292251753883	0.024455775684793995
0.028	1.0120175425718685	1.0290543130709304	0.34994423801817437	-0.0	1.97730488926684e-9	0.0031795029281917265	0.02476615025845692
0.032	1.1155181689297822	1.1350269632013776	0.39306600862307883	-0.0	2.220498201976895e-9	0.003571560489584212	0.025078091996676086
0.036000000000000004	1.2252543604287018	1.2472347158080115	0.4372274049052938	-0.0	2.4699754186396916e-9	0.0039645019093434725	0.028134072156787288
0.04	1.3299192886259426	1.3543707424481537	0.48054395545400125	-0.0	2.7146348224871275e-9	0.004358327187471622	0.028415564723833574
0.044	1.4351800431192434	1.4621021327195491	0.5239601752039792	-0.0	2.9599089429455105e-9	0.0047530363239716555	0.028698488116455718
0.048	1.5410366239084847	1.5704288866220661	0.5674760641552294	-0.0	3.2058881244134696e-9	0.005148629318841016	0.02898284392308634
0.052000000000000005	1.6474890309940469	1.6793510041560895	0.6110916223076787	-0.0	3.4521680791765874e-9	0.005545106172077973	0.029268632296454298
0.056	1.7545372643756185	1.7888684853213102	0.6548068496614132	-0.0	3.69911923314703e-9	0.005942466883688061	0.02955585277837659
0.06	1.862181324053262	1.8989813301177934	0.6986217462163848	-0.0	3.946615589889291e-9	0.00634071145366665	0.0298359410624459
0.064	1.9703774918483552	2.0095759004259093	0.7424474523448479	-0.0	4.194253944156401e-9	0.006600000000000002	0.03005099942036124
0.068	2.0790881481730232	2.1205544103964256	0.7862075041438367	-0.0	4.4417248767913975e-9	0.006600000000000002	0.030266403432080115
0.07200000000000001	2.1883943544734565	2.2321275657487085	0.8300666635064164	-0.0	4.689128141333043e-9	0.006600000000000002	0.03048288354156129
0.076	2.298296110748277	2.3442953664813935	0.8740249304328941	-0.0	4.938016218147823e-9	0.006600000000000002	0.030700414112006198
0.08	2.408793416999338	2.45705781259631	0.9180823049228961	-0.0	5.186352514119363e-9	0.006600000000000002	0.03090143979863787
0.084	2.5198862732251177	2.570414904091952	0.9622387869767123	-0.0	5.435763755778922e-9	0.006600000000000002	0.03110262767842774
0.088	2.631574679425992	2.684366640968686	1.0064943765942649	-0.0	5.685862697335509e-9	0.006600000000000002	0.03129880578306522
0.092	2.7438586356021877	2.798913023226753	1.0508490737755274	-0.0	5.93641449886384e-9	0.006600000000000002	0.03149054467675158
0.096	2.856738141753621	2.914054050866046	1.0953028785205157	-0.0	6.187502371579612e-9	0.006600000000000002	0.031683197712970554
0.1	2.97021319788024	3.0297897238865352	1.1398557908292235	-0.0	6.4391736942504e-9	0.006600000000000002	0.0318767656096882
0.10400000000000001	3.084283803981953	3.1461200422881133	1.1845078107016684	-0.0	6.691511622580748e-9	0.006600000000000002	0.03207124628867036
0.108	3.1989499600590143	3.2630450060710467	1.229258938137813	-0.0	6.944266328634541e-9	0.006600000000000002	0.03226664257962985
0.112	3.314211666111307	3.380564615235217	1.2741091731376903	-0.0	7.197593854257889e-9	0.006600000000000002	0.03246295153538773
0.116	3.4300689221387506	3.498678869780537	1.3190585157012857	-0.0	7.45152700654117e-9	0.006600000000000002	0.03266017541037744
0.12	3.5465217281413453	3.6173877697070056	1.3641069658286198	-0.0	7.706083049452417e-9	0.006600000000000002	0.03285831429337472
0.124	3.663570084119295	3.736691315014837	1.4092545235196587	-0.0	7.961061088135324e-9	0.006600000000000002	0.03305736566361958
0.128	3.7812139900723754	3.856589505703802	1.4545011887744186	-0.0	8.216658298199064e-9	0.006600000000000002	0.03324407616397565
0.132	3.899453446000696	3.977082341774004	1.4998469615929102	-0.0	8.472811729998142e-9	0.006600000000000002	0.03341979539280698
0.136	4.0182884519041915	4.098169823225389	1.5452918419751138	-0.0	8.729548028885148e-9	0.006600000000000002	0.03359446145713081
0.14	4.137719007783236	4.219851950058311	1.5908358299209815	-0.0	8.986483779338528e-9	0.006600000000000002	0.03377006445851195
0.14400000000000002	4.257745113636959	4.342128722271925	1.6364789254306764	-0.0	9.244552567899689e-9	0.006600000000000002	0.03394651078152319
0.148	4.3783667694660195	4.4650001398668815	1.6822211285040762	-0.0	9.50305550917463e-9	0.006600000000000002	0.03412375964435302
0.152	4.499583975270323	4.588466202843075	1.7280624391411834	-0.0	9.762073205354937e-9	0.006600000000000002	0.034301392476395465
