# F0-R0 PARAMETER SCAN
# FBA model ../../ModelFiles/ecFBA/Modified/reducedEcYeast_modified_withDamage.mat with objective max. growth (parsimonious)
# Boolean model ../../ModelFiles/Boolean/Modified/rules.txt, ../../ModelFiles/Boolean/Modified/species.txt
# TF layer ../../ModelFiles/Boolean/Modified/TFtargets.txt
damage formation	damage repair	regulation factor	rls	average generation time	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status
0.0	0.0	0.0	14	1.323076923076921	12.499999999999972	10.0	0.07878138096259137	4.799999999999999	3.0	0.20205644963725736	3.3000000000000016	1.0	0.2626733845284346	dead (regular)
0.0005	0.0	0.0	13	1.3249999999999966	11.399999999999975	9.0	0.07895223114207098	4.6	3.0	0.20139550790948169	3.3000000000000016	1.0	0.2623684095364806	dead (regular)
0.001	0.0	0.0	13	1.3249999999999966	11.099999999999977	9.0	0.07814488864315025	4.899999999999999	3.0	0.20478258876541844	3.700000000000002	1.0	0.26744269288932343	dead (regular)
0.0015	0.0	0.0	12	1.327272727272724	10.19999999999998	8.0	0.07874005528035302	4.5	3.0	0.20227781129630001	3.4000000000000017	1.0	0.2646655030138847	dead (regular)
0.002	0.0	0.0	12	1.336363636363633	9.99999999999998	8.0	0.07817336445415464	4.799999999999999	3.0	0.20540523029395114	3.600000000000002	1.0	0.2694012481533987	dead (regular)
0.0025	0.0	0.0	12	1.336363636363633	9.799999999999981	8.0	0.07830499263394161	4.999999999999998	3.0	0.2082207413649592	4.000000000000002	1.0	0.2739437829009548	dead (regular)
0.003	0.0	0.0	11	1.3399999999999967	8.899999999999984	7.0	0.07841389635026713	4.6	3.0	0.20541447863800733	3.700000000000002	1.0	0.2706921776692227	dead (regular)
0.0035	0.0	0.0	11	1.3399999999999967	8.799999999999985	7.0	0.0791664361133326	4.699999999999999	3.0	0.20807975349759028	4.000000000000002	1.0	0.27505668264604133	dead (regular)
0.004	0.0	0.0	11	1.3399999999999967	8.699999999999985	7.0	0.08000060200283236	4.799999999999999	3.0	0.21103674371008596	4.5	1.0	0.28012138853791746	dead (regular)
0.0045	0.0	0.0	11	1.3499999999999968	8.499999999999986	7.0	0.07927092064935497	5.099999999999998	3.0	0.21340693959843265	4.699999999999999	1.0	0.284137901186579	dead (regular)
0.005	0.0	0.0	10	1.3444444444444414	7.599999999999989	6.0	0.07780211363227858	4.6	3.0	0.21049673282951498	4.4	1.0	0.28070362486022954	dead (regular)
0.0055	0.0	0.0	10	1.3555555555555525	7.499999999999989	6.0	0.07800399697943138	4.799999999999999	3.0	0.21293024109354586	4.699999999999999	1.0	0.2850056979868553	dead (regular)
0.006	0.0	0.0	10	1.3555555555555525	7.39999999999999	6.0	0.078125584365027	4.899999999999999	3.0	0.21496927694434886	5.1999999999999975	1.0	0.2892450663099547	dead (regular)
0.0065	0.0	0.0	10	1.3666666666666636	7.29999999999999	6.0	0.07856435224741025	5.099999999999998	3.0	0.2171915271754964	5.599999999999996	1.0	0.29363208408774266	dead (regular)
0.007	0.0	0.0	10	1.3666666666666636	7.19999999999999	6.0	0.07977135569643226	5.1999999999999975	3.0	0.21920457110828925	6.399999999999993	1.0	0.2986803713056382	dead (regular)
0.0075	0.0	0.0	9	1.3499999999999972	6.5999999999999925	5.0	0.07746921196166785	4.300000000000001	3.0	0.21066291280372598	4.6	1.0	0.2848538516307705	dead (regular)
0.008	0.0	0.0	9	1.3749999999999971	6.299999999999994	5.0	0.07917213673263761	4.799999999999999	3.0	0.21792213918000047	5.999999999999995	1.0	0.2980476352737162	dead (regular)
0.0085	0.0	0.0	9	1.3749999999999971	6.199999999999994	5.0	0.07851262669131827	4.899999999999999	3.0	0.21982342703084112	7.099999999999991	1.0	0.30405618665461903	dead (regular)
0.009	0.0	0.0	8	1.257142857142855	6.099999999999994	5.0	0.07771768504237662	4.999999999999998	3.0	0.2216047001356937	8.599999999999985	0.0	0.23936048416800806	dead (regular)
0.0095	0.0	0.0	8	1.2714285714285691	6.099999999999994	5.0	0.07986437289174886	4.999999999999998	3.0	0.22346529908024876	7.29999999999999	0.0	0.23931310679854814	dead (regular)
0.01	0.0	0.0	8	1.2714285714285691	5.999999999999995	5.0	0.07936200056491874	5.1999999999999975	3.0	0.2255504359428283	6.099999999999994	0.0	0.23942440157965825	dead (regular)
0.0	0.005	0.0	14	1.3153846153846134	12.599999999999971	10.0	0.07888511179618284	4.6	3.0	0.19724441801412557	3.0000000000000013	1.0	0.2526001805675044	dead (regular)
0.0005	0.005	0.0	13	1.3166666666666633	11.499999999999975	9.0	0.07930645561072934	4.4	3.0	0.19645674834021354	3.0000000000000013	1.0	0.2521039909277644	dead (regular)
0.001	0.005	0.0	13	1.3249999999999966	11.199999999999976	9.0	0.07822304286612758	4.799999999999999	3.0	0.19989829390542116	3.1000000000000014	1.0	0.2569155819034687	dead (regular)
0.0015	0.005	0.0	12	1.318181818181815	10.29999999999998	8.0	0.07951078396037524	4.300000000000001	3.0	0.19736101005204748	3.1000000000000014	1.0	0.25420405144873703	dead (regular)
0.002	0.005	0.0	12	1.327272727272724	10.09999999999998	8.0	0.07898910667884325	4.6	3.0	0.2005086766783342	3.2000000000000015	1.0	0.25867202979219894	dead (regular)
0.0025	0.005	0.0	12	1.336363636363633	9.89999999999998	8.0	0.07842060653148061	4.899999999999999	3.0	0.20316430340198752	3.3000000000000016	1.0	0.26252996125971434	dead (regular)
0.003	0.005	0.0	11	1.329999999999997	8.999999999999984	7.0	0.07959607158301399	4.4	3.0	0.20049250991388226	3.2000000000000015	1.0	0.25972049541281517	dead (regular)
0.0035	0.005	0.0	11	1.3399999999999967	8.799999999999985	7.0	0.0776318753499005	4.699999999999999	3.0	0.20317223504362247	3.4000000000000017	1.0	0.2636143236120543	dead (regular)
0.004	0.005	0.0	11	1.3399999999999967	8.699999999999985	7.0	0.07835626720298451	4.799999999999999	3.0	0.20560469618674507	3.600000000000002	1.0	0.26723801844874695	dead (regular)
0.0045	0.005	0.0	11	1.3399999999999967	8.599999999999985	7.0	0.07967744895717367	4.899999999999999	3.0	0.20844873776870937	3.900000000000002	1.0	0.2714300005213679	dead (regular)
0.005	0.005	0.0	10	1.3222222222222193	8.099999999999987	6.0	0.0797956080934953	3.900000000000002	3.0	0.19665318193748552	3.1000000000000014	1.0	0.256972396783156	dead (regular)
0.0055	0.005	0.0	10	1.3444444444444414	7.599999999999989	6.0	0.07952187768841401	4.6	3.0	0.2080639332573311	3.900000000000002	1.0	0.27219856613552523	dead (regular)
0.006	0.005	0.0	10	1.3555555555555525	7.499999999999989	6.0	0.07964834030853381	4.799999999999999	3.0	0.21023639056987709	4.100000000000001	1.0	0.2756389738842394	dead (regular)
0.0065	0.005	0.0	10	1.3555555555555525	7.39999999999999	6.0	0.07980324464024874	4.899999999999999	3.0	0.2121575656409545	4.4	1.0	0.27887361578271996	dead (regular)
0.007	0.005	0.0	10	1.3555555555555525	7.19999999999999	6.0	0.0777591385134987	5.099999999999998	3.0	0.2140881591404351	4.799999999999999	1.0	0.2822617175034428	dead (regular)
0.0075	0.005	0.0	9	1.2999999999999974	7.099999999999991	5.0	0.0773693226459374	3.4000000000000017	3.0	0.18554694124179333	2.600000000000001	1.0	0.24497123100598964	dead (regular)
0.008	0.005	0.0	9	1.3624999999999972	6.299999999999994	5.0	0.07810937701562322	4.699999999999999	3.0	0.2128881159504755	4.6	1.0	0.28205108396750134	dead (regular)
0.0085	0.005	0.0	9	1.3624999999999972	6.199999999999994	5.0	0.07745685844426418	4.799999999999999	3.0	0.21479339218487067	4.999999999999998	1.0	0.28558156117843286	dead (regular)
0.009	0.005	0.0	9	1.3749999999999971	6.199999999999994	5.0	0.07959929674083793	4.899999999999999	3.0	0.21678232356491983	5.299999999999997	1.0	0.2891551853276782	dead (regular)
0.0095	0.005	0.0	9	1.3749999999999971	6.099999999999994	5.0	0.07877703152814561	4.999999999999998	3.0	0.21846262362572674	5.799999999999995	1.0	0.2926959622100973	dead (regular)
0.01	0.005	0.0	9	1.3749999999999971	5.999999999999995	5.0	0.07805907546282656	5.099999999999998	3.0	0.22029155353069244	6.399999999999993	1.0	0.29665737984840135	dead (regular)
0.0	0.01	0.0	14	1.3153846153846134	12.69999999999997	10.0	0.07905661191534596	4.5	3.0	0.19248224856846188	2.700000000000001	1.0	0.2435611885693927	dead (regular)
0.0005	0.01	0.0	14	1.3153846153846134	12.399999999999972	10.0	0.0789076956010938	4.799999999999999	3.0	0.19576782539010737	2.9000000000000012	1.0	0.24771953220163395	dead (regular)
0.001	0.01	0.0	13	1.3166666666666633	11.299999999999976	9.0	0.07860963598190264	4.6	3.0	0.19530357897243655	2.9000000000000012	1.0	0.2476300646561827	dead (regular)
0.0015	0.01	0.0	13	1.3249999999999966	10.999999999999977	9.0	0.07762834283921831	4.999999999999998	3.0	0.1980328658549969	3.0000000000000013	1.0	0.25135752485482904	dead (regular)
0.002	0.01	0.0	12	1.318181818181815	10.19999999999998	8.0	0.07976060411894108	4.4	3.0	0.1958787903294102	3.0000000000000013	1.0	0.2491625300104744	dead (regular)
0.0025	0.01	0.0	12	1.327272727272724	9.99999999999998	8.0	0.07890698933177237	4.699999999999999	3.0	0.19841669571158183	3.0000000000000013	1.0	0.2528499574401982	dead (regular)
0.003	0.01	0.0	12	1.327272727272724	9.799999999999981	8.0	0.07899001345887768	4.899999999999999	3.0	0.20094588909712424	3.3000000000000016	1.0	0.2560548958093416	dead (regular)
0.0035	0.01	0.0	11	1.329999999999997	8.899999999999984	7.0	0.07883310281141656	4.5	3.0	0.19845560710602161	3.1000000000000014	1.0	0.25377252633627084	dead (regular)
0.004	0.01	0.0	11	1.329999999999997	8.799999999999985	7.0	0.07953468438245652	4.6	3.0	0.2008699858192503	3.3000000000000016	1.0	0.2570552055745877	dead (regular)
0.0045	0.01	0.0	11	1.3399999999999967	8.599999999999985	7.0	0.07768780533565026	4.899999999999999	3.0	0.20380289596558862	3.3000000000000016	1.0	0.2612359231580724	dead (regular)
0.005	0.01	0.0	11	1.3399999999999967	8.499999999999986	7.0	0.07972811533048389	4.999999999999998	3.0	0.20589006213579703	3.600000000000002	1.0	0.26406544529754417	dead (regular)
0.0055	0.01	0.0	10	1.3333333333333304	7.599999999999989	6.0	0.07822917009095928	4.5	3.0	0.20346356287550296	3.5000000000000018	1.0	0.2617404651379088	dead (regular)
0.006	0.01	0.0	10	1.3444444444444414	7.499999999999989	6.0	0.07836534652455338	4.699999999999999	3.0	0.20555194982892627	3.600000000000002	1.0	0.26481253370328667	dead (regular)
0.0065	0.01	0.0	10	1.3444444444444414	7.39999999999999	6.0	0.07844322924093677	4.799999999999999	3.0	0.20745456563414025	3.800000000000002	1.0	0.2676175921852172	dead (regular)
0.007	0.01	0.0	10	1.3555555555555525	7.29999999999999	6.0	0.0788518153783803	4.999999999999998	3.0	0.2093701465345174	3.900000000000002	1.0	0.2705167629846449	dead (regular)
0.0075	0.01	0.0	10	1.3555555555555525	7.19999999999999	6.0	0.08003527173842465	5.099999999999998	3.0	0.21126548919542762	4.200000000000001	1.0	0.2733441165735985	dead (regular)
0.008	0.01	0.0	9	1.3499999999999972	6.499999999999993	5.0	0.08007541229257593	4.4	3.0	0.2069685876731698	3.700000000000002	1.0	0.26884774214344653	dead (regular)
0.0085	0.01	0.0	9	1.3624999999999972	6.299999999999994	5.0	0.07929845747057948	4.699999999999999	3.0	0.21015862894001297	4.000000000000002	1.0	0.2733168149521307	dead (regular)
0.009	0.01	0.0	9	1.3624999999999972	6.199999999999994	5.0	0.07857519484629563	4.799999999999999	3.0	0.21192986300566052	4.300000000000001	1.0	0.276117162114059	dead (regular)
