# LIFESPAN SIMULATION WITH INTEGRATED MODEL
# FBA model ../../ModelFiles/ecFBA/Modified/reducedEcYeast_modified_withDamage.mat with objective max. growth (parsimonious)
# Boolean model ../../ModelFiles/Boolean/Modified/rules.txt, ../../ModelFiles/Boolean/Modified/species.txt
# TF layer ../../ModelFiles/Boolean/Modified/TFtargets.txt
# non-metabolic damage formation f0 = 0.0001
# damage repair r0 = 0.0005
# 23 division(s) with average generation time 1.595454545454556
time	growth	glucose	O2	CO2	ethanol	acetate	glycerol	pyruvate	ATP	Dformation	P	D	M	enzymeUsage	glucose(bool)	H2O2(bool)	Trx1/2(bool)	superoxide	H2O2 production
0.0	0.3017873441228908	9.188275025343572	2.7076118898689643	16.28513048352728	13.371594964262982	0.26048115341593947	0.048	6.23733349414124e-8	0.7	0.0001	0.4599724049674037	2.7595032596083485e-5	1.198505805930137	0.037998737053136264	1.0	0.0	1.0	0.01505036380942627	0.007525181904713135
0.1	0.3017852025978878	9.188217077822435	2.707591599527144	16.28502891669653	13.371514953028665	0.26047868252986	0.048	6.237288019406151e-8	0.7	0.0001	0.45996780676105326	3.219323894654123e-5	1.235226234916839	0.037998357172149624	1.0	0.0	1.0	0.015050147110675267	0.007525073555337634
0.2	0.30178306120230675	9.188159133806288	2.7075713104099837	16.284927356009916	13.371434946637319	0.2604762117915662	0.048	6.23723792614328e-8	0.7	0.0001	0.4599632088305869	3.6791169412901866e-5	1.2730714504232665	0.037997977313955156	1.0	0.0	1.0	0.015049930424925795	0.007524965212462898
0.30000000000000004	0.3017809199333488	9.188101193210494	2.7075510224956942	16.284825801316682	13.371354944961762	0.26047374120243294	0.048	6.237199556835549e-8	0.7	0.0001	0.459958611175988	4.138882401172207e-5	1.3120758975412727	0.037997597478551484	1.0	0.0	1.0	0.015049713752177077	0.007524856876088538
0.4	0.3017787787937854	9.188043256118924	2.707530735805844	16.284724252766146	13.371274948128008	0.26047127076107246	0.048	6.237162253341921e-8	0.7	0.0001	0.45995401379724016	4.598620275953591e-5	1.3522750759432913	0.03799721766593726	1.0	0.0	1.0	0.015049497092428345	0.007524748546214172
0.5	0.301776637783597	9.18798532253104	2.707510450340216	16.284622710357525	13.371194956135408	0.26046880046748255	0.048	6.237111449536314e-8	0.7	0.0001	0.45994941669432676	5.058330567290008e-5	1.393705572161522	0.03799683787611111	1.0	0.0	1.0	0.015049280445677857	0.007524640222838929
0.6	0.30177449690096686	9.187927392391849	2.707490166084727	16.284521173992665	13.371114968901178	0.2604663303225514	0.048	6.237077521120682e-8	0.7	0.0001	0.4599448198672313	5.518013276838253e-5	1.436405092854995	0.037996458109071665	1.0	0.0	1.0	0.015049063811926725	0.007524531905963363
0.7	0.3017723561458403	9.1878694656999	2.707469883038749	16.284419643669498	13.37103498642367	0.2604638603262937	0.048	6.237013572274464e-8	0.7	0.0001	0.45994022331593715	5.977668406250605e-5	1.480412499095139	0.03799607836481757	1.0	0.0	1.0	0.015048847191174178	0.007524423595587089
0.7999999999999999	0.30177021552008865	9.18781154251155	2.707449601217119	16.28431811948769	13.370955008786833	0.26046139047776856	0.048	6.236975025331049e-8	0.7	0.0001	0.4599356270404278	6.437295957181601e-5	1.525767841700585	0.03799569864334744	1.0	0.0	1.0	0.015048630583417533	0.007524315291708767
0.8999999999999999	0.3017680750227713	9.187753622798589	2.7074293206122975	16.28421660139745	13.370875035948824	0.26045892077743005	0.048	6.236924399161126e-8	0.7	0.0001	0.4599103403528928	8.965964710671515e-5	1.0064079344976296	0.037995318944659906	1.0	0.0	1.0	0.015048413988656972	0.007524206994328486
0.9999999999999999	0.30175629894833	9.187434974024642	2.7073177456465527	16.283658093536868	13.370435060587774	0.26044533357127303	0.048	6.236689387151273e-8	0.7	0.0001	0.45990574587030747	9.425412969203329e-5	1.0372397734258598	0.03799323000937971	1.0	0.0	1.0	0.015047222379489734	0.007523611189744867
1.0999999999999999	0.30175415928505916	9.187377076877159	2.70729747294568	16.28355661499716	13.37035511890365	0.26044286483477685	0.048	6.236648886215335e-8	0.7	0.0001	0.4599011516633828	9.884833661666886e-5	1.0690159332998748	0.03799285045880577	1.0	0.0	1.0	0.015047005869218876	0.007523502934609438
1.2	0.30175202024891223	9.187319216163372	2.707277186520824	16.28345520513205	13.370275259234994	0.26044037716393054	0.048	6.236615135435386e-8	0.7	0.0001	0.4598965577321023	0.00010344226789714353	1.1017653299453989	0.037992470931004184	1.0	0.0	1.0	0.015046789371937295	0.007523394685968647
1.3	0.3017498803454819	9.187261293058892	2.7072569312072408	16.28335367628215	13.37019525000779	0.2604379278052209	0.048	6.236565930350935e-8	0.7	0.0001	0.4598919640764494	0.00010803592355002525	1.1355177642325622	0.03799209142597359	1.0	0.0	1.0	0.015046572887647047	0.007523286443823524
1.4000000000000001	0.30174774106823865	9.18720340635991	2.7072366621622574	16.283252216056823	13.37011532275401	0.2604354595125985	0.048	6.236511396195965e-8	0.7	0.0001	0.4598873706964075	0.00011262930359184812	1.1703039494926852	0.03799171194371261	1.0	0.0	1.0	0.015046356416344522	0.007523178208172261
1.5000000000000002	0.3017456019193356	9.18714552313363	2.707216394333323	16.283150761918144	13.370035400295006	0.260432991368078	0.048	6.236462546382882e-8	0.7	0.0001	0.45988277759196017	0.00011722240803912362	1.2061555392254033	0.037991332484219875	1.0	0.0	1.0	0.015046139958029881	0.007523069979014941
