# F0-R0 PARAMETER SCAN
# FBA model ../../ModelFiles/ecFBA/Modified/reducedEcYeast_modified_withDamage.mat with objective max. growth (parsimonious)
# Boolean model ../../ModelFiles/Boolean/Modified/rules.txt, ../../ModelFiles/Boolean/Modified/species.txt
# TF layer ../../ModelFiles/Boolean/Modified/TFtargets.txt
damage formation	damage repair	regulation factor	rls	average generation time	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status
0.0	0.0	0.0	14	1.323076923076921	12.499999999999972	10.0	0.07878138096259137	4.799999999999999	3.0	0.20205644963725736	3.3000000000000016	1.0	0.2626733845284346	dead (regular)
0.0001	0.0	0.0	14	1.323076923076921	12.399999999999972	10.0	0.07765646542687715	4.899999999999999	3.0	0.20269820752132825	3.4000000000000017	1.0	0.26362137783853606	dead (regular)
0.0002	0.0	0.0	14	1.323076923076921	12.399999999999972	10.0	0.07937664193471194	4.899999999999999	3.0	0.20334976292689652	3.5000000000000018	1.0	0.2645881617966709	dead (regular)
0.0003	0.0	0.0	14	1.323076923076921	12.299999999999972	10.0	0.07921901685401178	4.999999999999998	3.0	0.20411840208889956	3.600000000000002	1.0	0.26571298654966585	dead (regular)
0.0004	0.0	0.0	13	1.3166666666666633	11.399999999999975	9.0	0.0774208154035343	4.5	3.0	0.2005387679491763	3.4000000000000017	1.0	0.26115881399888485	dead (regular)
0.0005	0.0	0.0	13	1.3249999999999966	11.399999999999975	9.0	0.07895223114207098	4.6	3.0	0.20139550790948169	3.3000000000000016	1.0	0.2623684095364806	dead (regular)
0.0006	0.0	0.0	13	1.3249999999999966	11.299999999999976	9.0	0.07773027418053177	4.699999999999999	3.0	0.20215893370491067	3.4000000000000017	1.0	0.26348971132783927	dead (regular)
0.0007	0.0	0.0	13	1.3249999999999966	11.299999999999976	9.0	0.07914486085449572	4.699999999999999	3.0	0.20286640698137404	3.5000000000000018	1.0	0.26454429714950567	dead (regular)
0.0008	0.0	0.0	13	1.3249999999999966	11.199999999999976	9.0	0.07784158523182862	4.799999999999999	3.0	0.20351653712002676	3.5000000000000018	1.0	0.26550379224024045	dead (regular)
0.0009	0.0	0.0	13	1.3249999999999966	11.199999999999976	9.0	0.07924482510909546	4.799999999999999	3.0	0.20414778740683576	3.600000000000002	1.0	0.2664680292400376	dead (regular)
0.001	0.0	0.0	13	1.3249999999999966	11.099999999999977	9.0	0.07814488864315025	4.899999999999999	3.0	0.20478258876541844	3.700000000000002	1.0	0.26744269288932343	dead (regular)
0.0011	0.0	0.0	13	1.33333333333333	11.099999999999977	9.0	0.07979563795221174	4.999999999999998	3.0	0.20545869450594934	3.600000000000002	1.0	0.26840409037012686	dead (regular)
0.0012	0.0	0.0	13	1.33333333333333	10.999999999999977	9.0	0.07905552898162388	5.099999999999998	3.0	0.20609646082237143	3.700000000000002	1.0	0.26938768162769927	dead (regular)
0.0013	0.0	0.0	12	1.327272727272724	10.29999999999998	8.0	0.0793532698853734	4.4	3.0	0.20082195216916862	3.3000000000000016	1.0	0.2625108777614175	dead (regular)
0.0014	0.0	0.0	12	1.327272727272724	10.19999999999998	8.0	0.07769546222952683	4.5	3.0	0.20156429461895134	3.3000000000000016	1.0	0.26358216786565836	dead (regular)
0.0015	0.0	0.0	12	1.327272727272724	10.19999999999998	8.0	0.07874005528035302	4.5	3.0	0.20227781129630001	3.4000000000000017	1.0	0.2646655030138847	dead (regular)
0.0016	0.0	0.0	12	1.327272727272724	10.19999999999998	8.0	0.0797313174312361	4.5	3.0	0.20296761675340871	3.5000000000000018	1.0	0.26572386794780556	dead (regular)
0.0017	0.0	0.0	12	1.327272727272724	10.09999999999998	8.0	0.07802640695473431	4.6	3.0	0.20358827571482377	3.600000000000002	1.0	0.2666985403870575	dead (regular)
0.0018	0.0	0.0	12	1.327272727272724	10.09999999999998	8.0	0.07898872003578664	4.6	3.0	0.2041940106732597	3.600000000000002	1.0	0.26760015667856785	dead (regular)
0.0019	0.0	0.0	12	1.327272727272724	10.09999999999998	8.0	0.07989620003377354	4.6	3.0	0.2047787612055864	3.700000000000002	1.0	0.26853667702582984	dead (regular)
0.002	0.0	0.0	12	1.336363636363633	9.99999999999998	8.0	0.07817336445415464	4.799999999999999	3.0	0.20540523029395114	3.600000000000002	1.0	0.2694012481533987	dead (regular)
0.0	0.002	0.0	14	1.3153846153846134	12.499999999999972	10.0	0.07773237289957964	4.699999999999999	3.0	0.20011865117965263	3.3000000000000016	1.0	0.25844288222090706	dead (regular)
0.0001	0.002	0.0	14	1.323076923076921	12.499999999999972	10.0	0.07913261714618414	4.799999999999999	3.0	0.200705628619039	3.2000000000000015	1.0	0.25936054943127795	dead (regular)
0.0002	0.002	0.0	14	1.323076923076921	12.399999999999972	10.0	0.07805874579909484	4.899999999999999	3.0	0.20133514767544558	3.2000000000000015	1.0	0.26028091951402565	dead (regular)
0.0003	0.002	0.0	14	1.323076923076921	12.399999999999972	10.0	0.08007286050119153	4.899999999999999	3.0	0.20205571986973264	3.3000000000000016	1.0	0.2612760779244067	dead (regular)
0.0004	0.002	0.0	13	1.3166666666666633	11.499999999999975	9.0	0.07917653155558754	4.4	3.0	0.1985438901755318	3.2000000000000015	1.0	0.25689489568700696	dead (regular)
0.0005	0.002	0.0	13	1.3166666666666633	11.399999999999975	9.0	0.07802781904305259	4.5	3.0	0.1993961616497961	3.2000000000000015	1.0	0.25810254585387726	dead (regular)
0.0006	0.002	0.0	13	1.3249999999999966	11.399999999999975	9.0	0.07948822395798352	4.6	3.0	0.2001827486314684	3.2000000000000015	1.0	0.25922477569178215	dead (regular)
