# INTERESTING ENZYMES
# from overexpression experiment 
enzyme(s)	standard name	pathway	overexpression span	rls	rls change	enzyme change	lcc	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status	why
LPD1	YFL018C	Other	phase 3	22	0.9565217391304348	0.7679351972893576	-0.18735396476206478	23.800000000000068	16.0	0.02074340867030759	10.599999999999978	6.0	0.2085188791332471	0.1	0.0	0.2085109682378283	dead (overexpression)	decreased lifespan but only in specific phase
LAT1	YNL071W	Other	phase 3	22	0.9565217391304348	0.7679351972893581	-0.1873539647620652	23.800000000000068	16.0	0.02074340867030759	10.599999999999978	6.0	0.2085188791332471	0.1	0.0	0.2085109682378283	dead (overexpression)	decreased lifespan but only in specific phase
PDA1	YER178W	Other	phase 3	22	0.9565217391304348	0.7679351972893576	-0.18735396476206478	23.800000000000068	16.0	0.02074340867030759	10.599999999999978	6.0	0.2085188791332471	0.1	0.0	0.2085109682378283	dead (overexpression)	decreased lifespan but only in specific phase
PDX1	YGR193C	Other	phase 3	22	0.9565217391304348	0.7679351972893581	-0.1873539647620652	23.800000000000068	16.0	0.02074340867030759	10.599999999999978	6.0	0.2085188791332471	0.1	0.0	0.2085109682378283	dead (overexpression)	decreased lifespan but only in specific phase
PDB1	YBR221C	Other	phase 3	22	0.9565217391304348	0.7679351972893576	-0.18735396476206478	23.800000000000068	16.0	0.02074340867030759	10.599999999999978	6.0	0.2085188791332471	0.1	0.0	0.2085109682378283	dead (overexpression)	decreased lifespan but only in specific phase
SDH2	YLL041C	TCA	complete	25	1.0869565217391304	0.978400045472944	4.025773370504525	27.300000000000118	18.0	0.03374103785802397	13.999999999999966	7.0	0.21182805903799962	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used less
SDH3	YKL141W	TCA	complete	25	1.0869565217391304	0.978400045472944	4.025773370504525	27.300000000000118	18.0	0.03374103785802397	13.999999999999966	7.0	0.21182805903799962	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used less
SDH4	YDR178W	TCA	complete	25	1.0869565217391304	0.9784000454746228	4.025773370817405	27.300000000000118	18.0	0.03374103785802397	13.999999999999966	7.0	0.21182805903799962	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used less
LSC2	YGR244C	TCA	complete	25	1.0869565217391304	0.9784878184037015	4.042199130286828	27.300000000000118	18.0	0.03374103785802397	13.999999999999966	7.0	0.21182805903799962	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used less
LSC1	YOR142W	TCA	complete	25	1.0869565217391304	0.9784878184037015	4.042199130286828	27.300000000000118	18.0	0.03374103785802397	13.999999999999966	7.0	0.21182805903799962	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used less
SDH9,SDH1	YJL045W,YKL148C	TCA	complete	25	1.0869565217391304	0.9662186997476868	2.574102272252713	27.300000000000118	18.0	0.03374103785802397	13.899999999999967	7.0	0.21183478892343643	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used less
CIT1	YNR001C	TCA	phase 2	25	1.0869565217391304	0.9066792384233843	0.931802530005498	23.800000000000068	16.0	0.02074340867030759	17.199999999999974	9.0	0.22079861986128357	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used less
KGD1	YIL125W	TCA	phase 2	25	1.0869565217391304	0.848216451309752	0.5728981993732849	23.800000000000068	16.0	0.02074340867030759	16.99999999999997	9.0	0.2207917288277005	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used less
SDH2	YLL041C	TCA	phase 2	25	1.0869565217391304	0.8639788282168434	0.6392866683853857	23.800000000000068	16.0	0.02074340867030759	17.299999999999976	9.0	0.22078654458057007	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used less
IDP1	YDL066W	TCA	phase 2	25	1.0869565217391304	0.8943095594901219	0.8227472732598107	23.800000000000068	16.0	0.02074340867030759	17.299999999999976	9.0	0.2207895621940871	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used less
SDH3	YKL141W	TCA	phase 2	25	1.0869565217391304	0.863978828216251	0.6392866683826021	23.800000000000068	16.0	0.02074340867030759	17.299999999999976	9.0	0.22078654458057007	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used less
SDH4	YDR178W	TCA	phase 2	25	1.0869565217391304	0.863978828216251	0.6392866683826021	23.800000000000068	16.0	0.02074340867030759	17.299999999999976	9.0	0.22078654458057007	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used less
LSC2	YGR244C	TCA	phase 2	25	1.0869565217391304	0.864003896565075	0.6394045089735948	23.800000000000068	16.0	0.02074340867030759	17.299999999999976	9.0	0.22078654458057007	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used less
LSC1	YOR142W	TCA	phase 2	25	1.0869565217391304	0.864003896565075	0.6394045089735948	23.800000000000068	16.0	0.02074340867030759	17.299999999999976	9.0	0.22078654458057007	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used less
SDH1	YKL148C	TCA	phase 2	25	1.0869565217391304	0.8693781031472161	0.6657116749508997	23.800000000000068	16.0	0.02074340867030759	17.199999999999974	9.0	0.22079381199126508	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used less
CIT1,CIT3	YNR001C,YPR001W	TCA	phase 2	25	1.0869565217391304	0.8971571298511796	0.8455279555432345	23.800000000000068	16.0	0.02074340867030759	17.399999999999977	9.0	0.22078917396758413	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used less
