# REGULATION FACTOR GRID
# FBA model ../../ModelFiles/ecFBA/Modified/reducedEcYeast_modified_withDamage.mat with objective max. growth (parsimonious)
# Boolean model ../../ModelFiles/Boolean/Modified/rules.txt, ../../ModelFiles/Boolean/Modified/species.txt
# TF layer ../../ModelFiles/Boolean/Modified/TFtargets.txt
regulation factor	phase	time	divisions	damage at end	damage formation	damage repair	status
0.0	phase 1	12.69999999999997	10.0	0.0789124988527383	0.000175	0.015	dead (regular)
0.0	phase 2	4.4	3.0	0.18923950935547015	0.000175	0.015	dead (regular)
0.0	phase 3	9.499999999999982	2.0	0.27787661284564896	0.000175	0.015	dead (regular)
0.0	phase 1	12.69999999999997	10.0	0.07810733131221025	0.00015	0.016	dead (regular)
0.0	phase 2	4.4	3.0	0.18814586882532877	0.00015	0.016	dead (regular)
0.0	phase 3	8.799999999999985	2.0	0.27663922979149314	0.00015	0.016	dead (regular)
0.0	phase 1	12.69999999999997	10.0	0.07841974143632084	0.000175	0.016	dead (regular)
0.0	phase 2	4.4	3.0	0.1883144866161166	0.000175	0.016	dead (regular)
0.0	phase 3	8.899999999999984	2.0	0.2765214110514863	0.000175	0.016	dead (regular)
0.0	phase 1	12.69999999999997	10.0	0.07761858927208731	0.00015	0.017	dead (regular)
0.0	phase 2	4.4	3.0	0.1872284133505741	0.00015	0.017	dead (regular)
0.0	phase 3	8.399999999999986	2.0	0.27472555307985147	0.00015	0.017	dead (regular)
0.0	phase 1	12.69999999999997	10.0	0.07794834814878959	0.000175	0.017	dead (regular)
0.0	phase 2	4.4	3.0	0.18740266173194053	0.000175	0.017	dead (regular)
0.0	phase 3	8.499999999999986	2.0	0.2745881844175142	0.000175	0.017	dead (regular)
0.0	phase 1	12.69999999999997	10.0	0.07745680376848918	0.000175	0.018	dead (regular)
0.0	phase 2	4.4	3.0	0.18648829345065687	0.000175	0.018	dead (regular)
0.0	phase 3	8.099999999999987	2.0	0.27287858934615544	0.000175	0.018	dead (regular)
0.0	phase 1	12.79999999999997	10.0	0.07948452254902852	0.000175	0.019	dead (regular)
0.0	phase 2	4.300000000000001	3.0	0.18413139263468511	0.000175	0.019	dead (regular)
0.0	phase 3	6.8999999999999915	2.0	0.27029708243884787	0.000175	0.019	dead (regular)
0.0	phase 1	12.69999999999997	10.0	0.07729514149075613	0.0002	0.019	dead (regular)
0.0	phase 2	4.4	3.0	0.18575157340990506	0.0002	0.019	dead (regular)
0.0	phase 3	7.799999999999988	2.0	0.27069243786302716	0.0002	0.019	dead (regular)
0.0	phase 1	12.79999999999997	10.0	0.07906347181602438	0.000175	0.02	dead (regular)
0.0	phase 2	4.300000000000001	3.0	0.18318503754260046	0.000175	0.02	dead (regular)
0.0	phase 3	6.299999999999994	2.0	0.26849440591405743	0.000175	0.02	dead (regular)
0.0	phase 1	12.79999999999997	10.0	0.07934425897287067	0.0002	0.02	dead (regular)
0.0	phase 2	4.300000000000001	3.0	0.18338160747464088	0.0002	0.02	dead (regular)
0.0	phase 3	6.499999999999993	2.0	0.26831253245842895	0.0002	0.02	dead (regular)
0.005	phase 1	12.599999999999971	10.0	0.0770476298963436	0.0001	0.0	dead (regular)
0.005	phase 2	4.699999999999999	3.0	0.2001551509627711	0.0001	0.0	dead (regular)
0.005	phase 3	3.3000000000000016	1.0	0.2603131513007441	0.0001	0.0	dead (regular)
0.005	phase 1	12.599999999999971	10.0	0.07650523592657456	0.0001	0.001	dead (regular)
0.005	phase 2	4.699999999999999	3.0	0.1991420369207737	0.0001	0.001	dead (regular)
0.005	phase 3	3.2000000000000015	1.0	0.2581659995992643	0.0001	0.001	dead (regular)
0.005	phase 1	12.599999999999971	10.0	0.07591386365821157	0.0001	0.002	dead (regular)
0.005	phase 2	4.699999999999999	3.0	0.1981179701482032	0.0001	0.002	dead (regular)
0.005	phase 3	3.1000000000000014	1.0	0.2560669124516024	0.0001	0.002	dead (regular)
0.005	phase 1	12.599999999999971	10.0	0.07528251507261331	0.0001	0.003	dead (regular)
0.005	phase 2	4.6	3.0	0.19714151707984928	0.0001	0.003	dead (regular)
0.005	phase 3	3.2000000000000015	1.0	0.2539446175823884	0.0001	0.003	dead (regular)
0.005	phase 1	12.599999999999971	10.0	0.0746268627131054	0.0001	0.004	dead (regular)
0.005	phase 2	4.6	3.0	0.1961273297749905	0.0001	0.004	dead (regular)
0.005	phase 3	3.1000000000000014	1.0	0.2519296308377493	0.0001	0.004	dead (regular)
0.005	phase 1	12.599999999999971	10.0	0.07529138203026906	0.000125	0.004	dead (regular)
0.005	phase 2	4.6	3.0	0.19640528004925634	0.000125	0.004	dead (regular)
0.005	phase 3	3.1000000000000014	1.0	0.25231290833932635	0.000125	0.004	dead (regular)
0.005	phase 1	12.599999999999971	10.0	0.07463779102333779	0.000125	0.005	dead (regular)
0.005	phase 2	4.6	3.0	0.1953960310152268	0.000125	0.005	dead (regular)
0.005	phase 3	3.0000000000000013	1.0	0.2503617671125634	0.000125	0.005	dead (regular)
0.005	phase 1	12.69999999999997	10.0	0.0770443288767932	0.000125	0.006	dead (regular)
0.005	phase 2	4.5	3.0	0.194395222607205	0.000125	0.006	dead (regular)
0.005	phase 3	3.0000000000000013	1.0	0.24833477887869754	0.000125	0.006	dead (regular)
0.005	phase 1	12.69999999999997	10.0	0.07650265552064976	0.000125	0.007	dead (regular)
0.005	phase 2	4.5	3.0	0.19340296458618655	0.000125	0.007	dead (regular)
0.005	phase 3	2.9000000000000012	1.0	0.2464966629215371	0.000125	0.007	dead (regular)
0.005	phase 1	12.69999999999997	10.0	0.07592236481285507	0.000125	0.008	dead (regular)
